id (N) (P),profit_margin (N),tax (N),phone_number (T),table_1_id (N)
210148,17442,2728,Air break look.,171726
122806,19592,46993,Dark assume behind.,477387
387036,2255,17131,Hope road approach.,84849
417243,42832,12867,Exactly turn.,392368
60491,32800,23146,Third article bill.,487526
174513,47872,778,Above surface.,170650
96451,38039,32646,Window money during.,245900
54898,44091,35252,Security leader.,193793
124059,46618,18220,Mean few likely top.,365263
273690,37669,14224,Mouth shake whether.,43314
367950,20093,17467,See grow detail.,206137
350028,31668,1221,Mother teacher.,224083
10661,46798,7626,Land traditional.,199907
137800,44749,8398,Movement choose any.,262645
22698,26984,6688,Cover just instead.,484611
310831,5438,43924,Little others.,66216
399418,15689,24593,Long action oil.,68995
374205,33075,3296,Audience leg safe.,288426
465919,37132,48213,Action cell green.,119403
219292,33371,26891,Not decide notice.,428215
460143,1759,42310,If bring personal.,123408
270242,1841,19179,Laugh blue ok.,134452
312548,10227,38271,General laugh after.,231028
424398,44376,27305,Food fact life walk.,251863
135165,46804,4287,Risk book candidate.,223478
162075,9812,18334,Matter theory born.,481528
351926,34564,32461,Even most nature.,278551
464719,25295,29817,Other every data.,291778
120697,4337,27974,Statement growth.,63991
245173,45720,25257,Exist over receive.,427591
256708,23142,36017,Time time nothing.,200192
289474,8899,32451,Yard listen.,276675
228688,22726,28156,Movie treatment.,455991
284482,18429,30981,Doctor smile some.,113317
370731,17058,28220,Against a require.,421974
288438,17399,20003,Which blood truth.,442267
454204,14278,31544,Subject then beyond.,498380
276084,43263,8845,Partner family.,93169
204756,44531,22978,Fine election.,443277
474146,13810,22118,Probably it exactly.,38210
273795,45986,13450,Suggest focus.,446556
177653,24739,2005,Health force cut.,141249
461311,34627,4183,Question floor.,78043
64865,24882,21884,Can understand.,321019
485539,5642,27038,Check chance.,77215
483882,21406,31500,Know speech.,77892
152015,7443,3214,Commercial effort.,464128
420947,33540,26528,Resource artist.,15162
103919,27466,14109,Evening include.,74111
104669,20822,756,Stuff teach project.,126981
441219,17476,10739,Worry travel speech.,130455
429981,32168,10656,Church group cell.,400021
428237,49416,23521,Administration.,225069
35645,21926,36010,Outside easy rule.,278485
72871,24878,31597,Son care both.,289247
394442,1785,762,Physical car high.,135165
405376,12690,27654,Enjoy wind relate.,108044
214318,8914,32592,Director kid design.,187452
302662,13051,11238,Citizen clearly.,131477
175484,30087,49780,Own lot stop us.,237205
420525,45189,27234,Economy hard what.,181570
258529,16556,7309,Player pick my.,216773
114387,11561,40244,Clearly nice.,233087
226526,49453,33277,Begin begin.,68755
97130,290,39699,Happy suggest its.,486755
382386,38178,17563,Maybe film station.,225450
245872,34036,35230,Wear control a.,27358
213401,44845,44230,Capital join sing.,186619
434793,2003,42128,Body figure owner.,168228
101426,16443,27419,Shoulder impact.,130600
310445,16575,31592,Reach morning vote.,71650
20378,22982,41572,Turn matter life.,434830
495113,3433,8097,Growth because fine.,60831
356605,16042,31643,Trouble set join.,261500
13635,16405,38490,Dream offer add.,82669
353112,19532,32819,Positive party.,297637
10544,43621,21563,Hard star economic.,11517
499461,17465,28595,Head ok course away.,3095
290783,1062,48620,A item just tell.,432777
366365,24968,44717,Will through.,221801
88605,33539,35691,Tree whether others.,113194
56450,25062,46853,None would memory.,47421
310540,10702,32648,Fast impact order.,62434
68551,16549,20356,Blue health.,28296
96099,24443,44331,Effort that.,348602
277558,32696,18039,Find leg process.,158105
202737,15997,2081,Real performance.,263286
107342,19674,33869,Dog none mention.,195317
381924,8635,3426,Never increase.,315261
211139,31235,11933,Husband range.,230996
276850,8789,19899,Those memory eat.,267820
240035,10850,39244,Sense alone economy.,468642
961,7835,43049,Any most body.,312558
5150,45136,42406,Food send green.,100167
100165,1141,16861,Industry seat live.,390685
299458,25670,41444,Environmental above.,14191
333024,45773,38978,Above write blue.,284586
88824,40559,5039,Receive analysis.,167836
70508,32535,16575,Year attention.,1180
268877,15760,15915,Father ground.,292415
274712,4879,41463,Learn land half.,293127
244280,4904,451,Stock go car left.,352001
264958,7890,37020,First appear month.,451119
103230,34387,10756,Decade just sea.,456193
207829,4386,39003,Bank walk ever.,212903
34021,39974,20187,Law job others drop.,413957
353707,44801,22210,Growth eat item.,499356
464725,8392,18216,Group catch feeling.,149587
305916,14373,21090,Bill lawyer mouth.,451109
54334,46898,1731,People site mean.,365267
324730,24264,8647,Democratic star.,175630
340060,41998,39749,Analysis argue star.,381605
93862,8351,10780,Hand manage.,34774
199968,28632,43343,Hour ability play.,187354
455796,23689,20140,Heart voice herself.,487597
498156,47150,30780,Attention dark rule.,385845
370120,31583,30772,Two realize world.,264309
92091,9016,16088,Weight herself.,178015
100652,43584,5271,Send doctor history.,345525
404043,23630,2764,Such tonight low.,423004
443239,16758,12075,Paper hotel.,293684
293651,46842,15687,Remember leader.,473126
114381,19105,34784,Real make official.,419879
199407,37275,45163,Pressure fill.,242645
4949,40942,37679,Degree seven whose.,465773
125611,2273,18129,Another political.,300343
84345,44891,42595,Tend management.,27826
135375,21501,26106,Must field often.,170008
372472,10966,16318,Affect cause front.,338049
450890,7906,38408,Response moment.,394780
346829,37972,25641,Sister weight six.,99108
461349,20920,352,Population.,200779
121098,562,45318,Age official.,249392
283366,13246,5035,Article political.,319176
367248,48344,46447,None affect member.,136858
440851,7332,24189,Finally arrive now.,421227
136769,24591,1526,Staff service fish.,486831
203540,40173,38586,How box page red.,461678
11563,20009,40864,Cold trial piece.,133574
283846,8760,5007,True several summer.,202882
364228,44845,45426,World after various.,251668
351210,7196,42729,Measure collection.,133365
78238,18340,998,Arm sense school.,357209
78106,38406,34194,Food tell official.,299627
778,42631,22672,Citizen success can.,144336
447139,28063,1774,Between hotel build.,384237
212290,18545,45787,Accept husband up.,76927
348689,8779,42979,Choice woman ok.,236795
383095,2842,17914,Strategy court.,332540
293107,33079,15539,Accept live town PM.,238724
439007,2105,23215,Put government song.,241477
60400,3546,13581,Affect appear smile.,283370
146829,24487,30071,Next seek many be.,339708
121858,7372,37939,Heart room.,39538
468363,12452,29648,Firm training.,239827
262512,15332,8183,Each church message.,60655
207228,1441,36541,Chance father.,35814
427814,16490,23662,Democratic chance.,123015
274370,43732,48278,Life find specific.,55320
111022,20908,10899,Sit assume common.,321323
114020,7566,4057,Beat study between.,375448
471295,28577,32732,Their help live.,385792
189260,27860,2762,Fill add green.,428556
62934,14496,49734,Finally defense.,206659
133030,48886,28477,Policy sister.,226494
441307,6088,17773,Already position.,464279
255821,6141,22452,Discover church.,332835
434586,39716,48620,Mention break line.,33380
186304,30196,1663,Anyone available.,428644
184825,26613,10983,Thing common growth.,77493
322743,20085,13263,Outside adult list.,57695
420471,28247,27766,Attention market.,483018
65529,4124,19045,Sit last practice.,307822
202222,13689,24608,Beautiful security.,375450
12482,47309,739,Father gas radio.,148442
76361,12606,22378,Impact benefit.,218879
77605,43938,8052,Spring buy.,38101
379171,43840,3670,Involve nation.,443965
460837,2652,28318,Director task could.,68784
327664,42489,39284,There challenge.,193426
404166,14817,1962,Word management say.,428651
146540,15356,47129,Sister team country.,37647
348871,38487,49225,Other determine.,108179
201800,38591,951,Even star him.,49340
60824,33171,14321,Fast central share.,297405
96731,25287,19830,Measure nature.,7834
447603,28328,18057,Program bag share.,285406
290052,38225,7488,Else article ready.,454112
231601,43569,19991,Join position test.,130391
267175,42126,18674,Local more he fall.,270206
183229,14580,39495,See operation foot.,231245
413422,21861,41645,This theory assume.,199248
388088,30197,7619,Movement throw.,208518
192746,13545,4146,Behavior accept.,363590
436664,22306,38448,Movement soldier.,264376
344179,37404,41659,Generation those.,194399
197419,454,24797,Ready add those.,96781
243111,17981,15281,Democrat stuff talk.,490376
266689,32199,47130,Social else sort.,372930
53275,5168,32124,Effect half blue.,29170
358852,45458,21163,Right reach.,272548
22646,44994,41975,Mr away until per.,106017
467630,30068,19088,Garden spend new.,199987
67168,11781,12764,Wife history family.,141622
253712,16695,36116,Significant land.,128452
319901,24443,24865,Chance financial.,342817
169397,7303,3801,Wear soon ground.,425125
201281,8197,38294,Think take arm.,309362
258397,2068,15083,Work tax its coach.,396671
37506,18886,30263,Too ok executive.,179752
175805,29886,9912,Certainly education.,319690
185551,6805,16773,Look finish about.,488950
272569,9069,47482,Particular often.,21624
157165,19227,26332,Able reflect.,365070
239752,9331,41905,Newspaper around.,346513
298826,12644,15498,Read city along.,438483
333339,29580,2984,Receive contain.,395186
115645,34457,3206,Blood quickly.,371069
306862,17925,34606,Bank learn positive.,232099
482617,23392,8247,Often fight cut.,51038
422627,9441,15642,Wonder should.,419385
389744,44368,44923,Effort already.,347014
93365,13711,2103,None people begin.,338204
343097,12603,42601,Arm usually cut.,375836
117176,26253,11159,Sport staff ever.,427005
7503,4028,38135,Statement west.,157515
430391,31049,14887,Chair wife.,446324
270266,15093,11585,Low join military.,330061
98370,16534,47746,Should free former.,256559
184923,24017,6203,Chance car describe.,18540
302352,16558,37220,Word hot look list.,478996
120636,19965,25679,Former inside.,56562
645,32671,28077,Manage stop thing.,281223
187015,13504,20180,Ahead reason cell.,90577
274250,10146,16732,Future language.,382632
219868,7199,14403,Middle require.,496362
